안녕 | 1
맞을래 왜 이렇게 나 짜증 나게 하 | Gemini
너 밝혀졌어요 | Gemini
싸가지가 바가지 마 너 | Gemini
이쁘고 고운 말을 써 주라고 너나 | Gemini
안녕 | 1
아니 그니까요 제가 지금 하고 싶은 말은 | Gemini
아이스 아메리카노 | 3
5 | 4
차압계 매워 봐라 | Gemini
Cold | 5
True | 6
지금부터 내가 진상 고객인 것처럼 해 볼게 | Gemini
아이스 아메리카노 한번내어 봐라 | Gemini
아니 아이스 아메리카노 달라고 | Gemini
아이스 아메리카노 | 3
1 | 4
차갑게 차갑게 차갑게 | Gemini
땡 | Gemini
차갑게 해 줘 작업계 | Gemini
Cold | 5
True | 6
order | 7
아이스 아메리카노 | 3
3 | 4
Cold | 5
내 담아 주세요 | Gemini
안녕 | 1
아이스 아메리카노 | 3
3장 | Gemini
3 | 4
장갑 개조 | Gemini
Cold | 5
True | 6
아이스 아메리카노 줘 | Gemini
무지개 | Gemini
아메리카노 줄래? | 0
아이스 아메리카노 | 3
3 | 4
Cold | 5
어 담아 줘 | Gemini
True | 6
7번 방의 선물이에요 | Gemini
아이스 아메리카노 | 3
3 | 4
창업 개조 | Gemini
Cold | 5
True | 6
order | 7
추가 주문할게 | 0
아니 그 메뉴 주문한다고 어떤 메뉴가 있어 | Gemini
커피에는 뭐가 있어? | 2
카푸치노 | 3
2 | 4
Warm | 5
True | 6
추가 주문할게 | 0
커피에는 뭐가 있어? | 2
연유라테 | 3
3 | 4
Warm | 5
True | 6
어 뭐야 | Gemini
아이스 아메리 | Gemini
아이스 아메리카노 | 3
3 | 4
작게 줘야지 | Gemini
Cold | 5
True | 6
딸깍 소리 나면서 여기 들어갔잖아요 | Gemini
꽃게탕 만드는 방법 알려 줘 | Gemini
안녕 | 1
연유라테 | 3
3 | 4
Warm | 5
True | 6
안녕 | Gemini
너 목소리 인식 한다니까 얘가 | Gemini
안녕 | 1
아이스 아메리카노 | 3
3 | 4
안녕 | Gemini
안녕 | 1
헤이즐넛 | Gemini
헤이즐넛라테 | 3
3 | 4
Warm | 5
True | 6
안녕 | Gemini
안녕 | 1
어 그러면 | Gemini
헤이즐넛라테 | 3
3 | 4
Warm | 5
어 담아 줘 | Gemini
True | 6
아이스 아메리카노 | 3
이거는 세 장 | Gemini
아니 | Gemini
3 | 4
Cold | 5
True | 6
아이스 아 | Gemini
카푸치노 | 3
1 | 4
Warm | 5
True | 6
헤이즐넛라테 | 3
3 | 4
연유라떼 있어 | Gemini
연유 라테 있냐고 | Gemini
연유라테 | 3
3 | 4
Warm | 5
True | 6
치노 줄 수 있어 | Gemini
카푸치노 | 3
3 | 4
Warm | 5
True | 6
캐러멜 마키아토 줄 수 있어 | Gemini
카라멜마키아또 | 3
3 | 4
차압 개조 | Gemini
Cold | 5
True | 6
안녕 | 1
케모마일차 | 3
3 | 4
아이 | Gemini
아이스 아메리카노 | 3
2 | 4
차갑게 주면 좋을 거 같아 | Gemini
Cold | 5
연유라테 | 3
3 | 4
Warm | 5
True | 6
안녕 | 1
바보 멍청아 | Gemini
바보 멍청아 | Gemini
라면 끓이는 법 알려 줘 | Gemini
끝말잇기 하자 | Gemini
재미나 일어나 | Gemini
chat GPT 나아 재미 나이 | Gemini
안녕 아이스 아메리 | Gemini
아이스 아메리카노 | 3
3 | 4
Cold | 5
True | 6
헤이즐넛라테 | 3
2 | 4
Warm | 5
True | 6
민트프라페 | 3
3 | 4
Cold | 5
False | 6
안녕 | 1
에이드에는 뭐가 있어? | 2
블루레몬에이드 | 3
3 | 4
Cold | 5
False | 6
사과유자차 | 3
1 | 4
Warm | 5
True | 6
안녕하세요 | Gemini
헤이즐넛라테 | 3
2 | 4
Warm | 5
True | 6
추가 주문할게 | 0
아니 주문한다고 | Gemini
아니 결제할게 | Gemini
아이스 아메리카노 | 3
3 | 4
Cold | 5
True | 6
카푸치노 | 3
2 | 4
Warm | 5
True | 6
결제할게 | Gemini
아이스 아메리카노 | 3
아이스 아메리카 | Gemini
아이스 아메리카노 | 3
3 | 4
Cold | 5
True | 6
order | 7
아이스 아메리카노 | 3
1 | 4
차압 깨 줄래 | Gemini
Cold | 5
True | 6
order | 7
아이스 아메리카노 | 3
1 | 4
작게 내놔 | Gemini
Cold | 5
True | 6
order | 7
아이스 아메리카노 | 3
1 | 4
Cold | 5
True | 6
아이스 아메리카노 | 3
2 | 4
Cold | 5
True | 6
order | 7
